gwiId,wgt,age,gender,education,income,children,marital
77ba863f6d057e78bee926c410686c72,4964.415750592672,25-34,M,University degree,Top 25%,1,married
7b276693ccaf9409652564986c398233,3946.9774114261822,16-24,F,Schooling until age 16,Mid 50%,0,single
7eb5293402bab1194b322052c3624580,3722.7426677880653,35-44,F,Schooling until age 16,Mid 50%,1,single
828e59f23e8db1f49fa09c3c0be5f4ef,3761.888744450687,45-64,F,University degree,Mid 50%,3+,single
870fa75786dc55ca4ee740099f6f9736,3761.888744450687,45-64,F,Schooling until age 18,Prefer not to say,1,married
87c3d834d2f60bb5c8c4814faa8dc53a,4785.1625715406935,45-64,M,Schooling until age 18,Mid 50%,1,single
89ae63743f69e4d1f33723adbcd11869,3691.0130847656283,25-34,F,University degree,Mid 50%,0,single
8a63890af3f973226ff2aaaa2e2a37d8,3761.888744450687,45-64,F,Schooling until age 16,Bottom 25%,0,single
906bbdb96819d309908fc3c208573aa6,3761.888744450687,45-64,F,University degree,Mid 50%,0,married
91c04056736e1bd865848d132a0638e9,4964.415750592672,25-34,M,Trade / technical school or college,Mid 50%,0,single
925b95d63d4b8adc9eb926f63e623eb5,3691.0130847656283,25-34,F,University degree,Top 25%,0,married
9c74c4bdf16d9a076695cef765a02a37,3761.888744450687,45-64,F,Schooling until age 16,Prefer not to say,2,single
9cbadb71f58ee5820ae60529996929dc,6556.642585168079,16-24,M,Schooling until age 18,Prefer not to say,0,single
a2b95ae225d2b99dbed57b0c6cbe3737,3691.0130847656283,25-34,F,Schooling until age 16,Bottom 25%,0,single
a43cead563b42c0b221c064a1e5157ee,4156.2143980421615,45-64,F,Schooling until age 16,Mid 50%,3+,single
a4773aedc38c448e7fc1d859e2328dc2,3761.888744450687,45-64,F,Schooling until age 18,Top 25%,2,married
a7337655ebe650e8a39f7d06598a42a7,4964.415750592672,25-34,M,University degree,Top 25%,1,married
bb5e21f2681d3750a4c2fb02ffa88015,4785.1625715406935,45-64,M,Trade / technical school or college,Top 25%,2,married
bd28f31b30e3e6bc0dd0d547f05e608a,3691.0130847656283,25-34,F,University degree,Mid 50%,0,single
c27be1258d4302dab0f4dbbf4d1b41ed,4785.1625715406935,45-64,M,Postgraduate degree,Bottom 25%,1,married
cc3febb15cc7b3f18e2d649bfa543808,4156.2143980421615,45-64,F,University degree,Mid 50%,1,single
d6dd7303c527c266246c661543b1b8a1,4569.578641823026,35-44,M,Postgraduate degree,Top 25%,1,married
eaae866375e7364bc25a11a31e0f4769,3722.7426677880653,35-44,F,Schooling until age 18,Mid 50%,3+,single
eb3803b2273d8069704bb881310a9bf0,3691.0130847656283,25-34,F,Schooling until age 18,Mid 50%,0,single
eddb363788ad2062722619bde26bb190,4785.1625715406935,45-64,M,Schooling until age 16,Mid 50%,2,married
ef068c8fd0bf21836db0954496937645,3761.888744450687,45-64,F,Trade / technical school or college,Mid 50%,0,single
f05699df0b51d722dda1af0f48f0a2d5,3761.888744450687,45-64,F,Schooling until age 18,Top 25%,1,married
f28a3ea4161623a2799cb777e22b804d,6556.642585168079,16-24,M,Schooling until age 16,Prefer not to say,0,single
fe2f957dc629f5294a7a7d1bda4eb8fa,3946.9774114261822,16-24,F,University degree,Prefer not to say,0,single
04ca3c044099d21824da2a480fbaeada,4156.2143980421615,45-64,F,Schooling until age 18,Mid 50%,3+,single
05f32b07252f543cd92d34c4a4660efa,4452.796148340271,45-64,M,Schooling until age 18,Mid 50%,1,married
0d7ece09a0da64f879eca8653df5a190,3691.0130847656283,25-34,F,Trade / technical school or college,Top 25%,1,single
0d9391e5c5256e0c6d80cfa7f19c950b,3761.888744450687,45-64,F,Trade / technical school or college,Mid 50%,1,single
11bbea98a8483d805f7248865fb1980a,3946.9774114261822,16-24,F,Trade / technical school or college,Bottom 25%,0,single
14f66acf70723a592479b391a6b41002,3761.888744450687,45-64,F,Schooling until age 18,Top 25%,0,married
1d34446b54037566811095b99bc58b90,3722.7426677880653,35-44,F,Schooling until age 18,Mid 50%,2,married
1d9677f2756670026cf7a58a4d3cdba5,4452.796148340271,45-64,M,Schooling until age 18,Top 25%,0,single
1df829a10116ced47ba00ae1e14f24c8,4785.1625715406935,45-64,M,Schooling until age 16,Mid 50%,0,single
2078b3508e6e57798fe202f3e18c5149,4964.415750592672,25-34,M,Trade / technical school or college,Bottom 25%,0,single
2279e756c5165621e90ccf24a5542eec,3761.888744450687,45-64,F,Schooling until age 18,Top 25%,1,married
229b3e7d0c885764b9aa6ba911a3e609,4156.2143980421615,45-64,F,Postgraduate degree,Mid 50%,0,single
230bbf6b7e2dbb571791a625dbb2390c,3761.888744450687,45-64,F,University degree,Top 25%,2,married
28bd87a400d576b5f429966ba440e0f5,4156.2143980421615,45-64,F,Trade / technical school or college,Bottom 25%,1,single
29aeb344ede99011f89c843d885a7d84,3946.9774114261822,16-24,F,University degree,Bottom 25%,0,single
2a9afa391010f0ca5c9622c37dd48489,3946.9774114261822,16-24,F,University degree,Mid 50%,3+,single
2be8bb339ba60a16e0a8eb9a02036f5c,3691.0130847656283,25-34,F,Trade / technical school or college,Bottom 25%,3+,single
3073ba7eb65c173902a6c1fa0497f49f,4156.2143980421615,45-64,F,Schooling until age 18,Bottom 25%,1,married
336f41e8d751d7c47c6d3c72797dd5a0,4569.578641823026,35-44,M,Schooling until age 16,Bottom 25%,2,single
368eec4773e671f8166fe5be5b630af3,3761.888744450687,45-64,F,Schooling until age 18,Mid 50%,3+,married
3fe1af14155c6bb5a593a176802a2171,4569.578641823026,35-44,M,Schooling until age 18,Mid 50%,2,married
44f9da6508684b5736314047b8f82ad7,3761.888744450687,45-64,F,University degree,Mid 50%,3+,single
45402794026350a1cc01039004ac54c5,3722.7426677880653,35-44,F,Schooling until age 16,Bottom 25%,2,single
50744fdab2433aada44b8f2ab8c875c7,4785.1625715406935,45-64,M,Schooling until age 18,Mid 50%,2,single
558eb21485958d543c57bc126a511959,3946.9774114261822,16-24,F,Schooling until age 18,Prefer not to say,0,single
5c6c124fe0af5d0b9eca150be892b970,4785.1625715406935,45-64,M,Postgraduate degree,Bottom 25%,1,married
5d157c4aff02b317ba74cba2341d9d05,3946.9774114261822,16-24,F,University degree,Mid 50%,0,married
6025b2c6af2820f7d0e4daf0f7b486ee,3722.7426677880653,35-44,F,University degree,Bottom 25%,0,single
60c6afd2021f35cee315952a49983d10,4452.796148340271,45-64,M,Trade / technical school or college,Mid 50%,0,single
6efc684c4a432ea4b3b7b38849dd4e4b,3946.9774114261822,16-24,F,Schooling until age 18,Bottom 25%,1,single
7b115e47ac816899e11fdcbb9fe464e2,4569.578641823026,35-44,M,Trade / technical school or college,Mid 50%,3+,single
87ecb757dc255f259227fa41d5f04f35,4785.1625715406935,45-64,M,Trade / technical school or college,Top 25%,0,single
8d42921544bd363f551fa599c2be48f8,6556.642585168079,16-24,M,Schooling until age 18,Mid 50%,0,single
8e5136d7f8d45806e2b561ed7ed88e0e,4964.415750592672,25-34,M,University degree,Mid 50%,2,married
9319413149b47dfe8d0e3afbc7f39727,4964.415750592672,25-34,M,University degree,Bottom 25%,0,single
932f834142b96d2cca060c39930df988,6556.642585168079,16-24,M,University degree,Bottom 25%,0,single
9a3e7fddcdb2237f874a647a7a80c68d,4569.578641823026,35-44,M,Postgraduate degree,Top 25%,2,single
9f971707ce1e44043d40378056b909b1,4156.2143980421615,45-64,F,Postgraduate degree,Top 25%,2,married
a009f51eba544f0ab20abbb9d9bb71dd,3691.0130847656283,25-34,F,Schooling until age 16,Bottom 25%,1,single
a20375600c63aaa035e507f0ab396ce0,3691.0130847656283,25-34,F,Schooling until age 18,Bottom 25%,1,single
a3017af6f4a8b9ceca43c27b9e0903f8,4964.415750592672,25-34,M,Postgraduate degree,Top 25%,1,single
a41769957c6f5628fba49615be9b73d1,4569.578641823026,35-44,M,Trade / technical school or college,Mid 50%,1,single
a615b88aa2180b486220dec5a08b309c,4964.415750592672,25-34,M,Postgraduate degree,Top 25%,1,married
ba874ee4468cd4794fea9ab767231172,3722.7426677880653,35-44,F,University degree,Mid 50%,3+,married
bdbb2d631596c296333ba520b1b9a848,3722.7426677880653,35-44,F,University degree,Top 25%,2,single
c1cd79f65bdb24d4a4fe7b71b654e819,3761.888744450687,45-64,F,University degree,Top 25%,2,married
c26a8fc3df4fe67191294a1d44ff0ebe,3722.7426677880653,35-44,F,Schooling until age 16,Bottom 25%,1,married
c7c391d5bf984ee539b90ac87a432fc5,3761.888744450687,45-64,F,University degree,Top 25%,1,married
cc7860129d2c7bb61444a04f983363ac,3691.0130847656283,25-34,F,Schooling until age 16,Mid 50%,2,single
cd5bc7630b37099b730731ee9629c888,3761.888744450687,45-64,F,Trade / technical school or college,Top 25%,3+,single
d34bfebbd94ccc72cfe1cf8fa7fc09e2,3946.9774114261822,16-24,F,Schooling until age 18,Top 25%,0,single
da346f5fe9f0f17eb45a7c4122086172,4785.1625715406935,45-64,M,Trade / technical school or college,Bottom 25%,0,single
e04a41897cb922c69d2fd90b9b91a7d6,3761.888744450687,45-64,F,University degree,Mid 50%,1,married
e7b31006f51feb4aa77aed58a168f27c,4452.796148340271,45-64,M,University degree,Top 25%,1,married
e8f9e08dda18110fefb9d7ce1236e4c8,3691.0130847656283,25-34,F,Schooling until age 16,Mid 50%,0,single
f45e864d50c15d01dbbc99c7d9585251,4156.2143980421615,45-64,F,University degree,Prefer not to say,1,married
f47ce03c6bc055255aa48a4d88480054,3722.7426677880653,35-44,F,University degree,Top 25%,1,married
0445a06425ce7be415210892295f1012,4569.578641823026,35-44,M,Schooling until age 18,Top 25%,1,single
0b7573adc2c6d7e60192831f6b176f71,3691.0130847656283,25-34,F,University degree,Mid 50%,1,married
11dce2b637dde175697913ac72943650,4452.796148340271,45-64,M,Schooling until age 18,Bottom 25%,1,married
1376d01b5ff0ec68ccd586c753c7ab17,4452.796148340271,45-64,M,University degree,Mid 50%,0,single
150eae6d38c76da42243fe10f4576eca,3946.9774114261822,16-24,F,Schooling until age 18,Prefer not to say,0,single
1e50d9760a7858684b76270f9aba480a,4569.578641823026,35-44,M,University degree,Mid 50%,0,single
1ed7e1981e8e7f2aee4ffa1c17ad2448,4569.578641823026,35-44,M,University degree,Mid 50%,2,married
293a651e7c173166f73bba99d4225e52,3946.9774114261822,16-24,F,University degree,Top 25%,0,single
2c85e7e6178007dee97d823aeaf780ab,3722.7426677880653,35-44,F,Schooling until age 18,Mid 50%,2,married
35a8b8cfee69a1517edc544850443f7a,4452.796148340271,45-64,M,Schooling until age 18,Top 25%,3+,married
3caa3c84dfe04984ec2b5f8be3d3da9d,3761.888744450687,45-64,F,Schooling until age 18,Mid 50%,2,single
3fff833deac73e1101ab32cceab6a603,4156.2143980421615,45-64,F,Schooling until age 18,Bottom 25%,0,married
40954b2d0981a2cd376f7e44fbbdc412,3691.0130847656283,25-34,F,Schooling until age 16,Bottom 25%,2,single
445ecfad23fc0322e32031ee9a2327a2,6556.642585168079,16-24,M,University degree,Prefer not to say,0,single
46278eb39eb1bca35b80e0e95d70bc49,3761.888744450687,45-64,F,University degree,Mid 50%,0,single
52f17c0f7020fb0d5ab43526113fdbb1,3946.9774114261822,16-24,F,University degree,Mid 50%,0,single
5d2a3f9a31e7d59cadc51ac1b2d23bb6,3691.0130847656283,25-34,F,Schooling until age 18,Prefer not to say,0,single
695743b373cadc334fce9d2091a8842d,4156.2143980421615,45-64,F,Schooling until age 18,Mid 50%,2,single
6a185063fdf7c4549354ab554c8e07f4,4156.2143980421615,45-64,F,Schooling until age 18,Mid 50%,1,single
79e51847a66ef9ab3dcaed98b1e5f661,6556.642585168079,16-24,M,Schooling until age 16,Bottom 25%,0,single
7e6d18b05ada34d6f303cdb5f8cdb890,3722.7426677880653,35-44,F,University degree,Mid 50%,3+,married
83bdcbdd89b1a7c555c1a7fe40b8b417,4452.796148340271,45-64,M,Schooling until age 16,Bottom 25%,0,single
8da5e21af9ed624c644da2dd60f481cf,4156.2143980421615,45-64,F,Schooling until age 18,Mid 50%,2,single
8ede81710d2779d9b11276444905a2c6,3691.0130847656283,25-34,F,Schooling until age 18,Mid 50%,2,married
90d158f7a1f09974270d3407fe63ffce,4964.415750592672,25-34,M,Postgraduate degree,Top 25%,1,married
9d23e3c5c9b3469a1f5c423f78525430,4156.2143980421615,45-64,F,University degree,Mid 50%,2,single
a286f7d4986c7658a4fb0462925a2128,3761.888744450687,45-64,F,Trade / technical school or college,Prefer not to say,1,married
b034363f9e3ae912dfeb738ea1752d0c,4452.796148340271,45-64,M,Schooling until age 16,Mid 50%,2,married
b570f57b492b467de5f970d715eabcd0,3722.7426677880653,35-44,F,University degree,Top 25%,1,married
c095fb6f86860bc7ab949a3735814bad,3691.0130847656283,25-34,F,Schooling until age 18,Bottom 25%,2,single
c86a75c5ba050cb18ebbe034e6c1c177,4156.2143980421615,45-64,F,Schooling until age 16,Mid 50%,2,married
cc7ca03a18d3bef1418d61ae216fbe92,4156.2143980421615,45-64,F,Trade / technical school or college,Bottom 25%,0,single
cd927d9650ed30bfe21ef085ffe827ae,3761.888744450687,45-64,F,Trade / technical school or college,Mid 50%,1,single
ce40018fb9171b08ce9b25cb740908da,4785.1625715406935,45-64,M,Trade / technical school or college,Mid 50%,3+,married
cecbb3bf59c84cbb81c4bfd0f1e0013e,3722.7426677880653,35-44,F,Trade / technical school or college,Prefer not to say,0,single
dc3bbf7e57cd4c32f2cf65077c176dcb,4156.2143980421615,45-64,F,Schooling until age 16,Mid 50%,3+,married
dd8d18f7c857445eb06fc6fd94d15576,3722.7426677880653,35-44,F,Postgraduate degree,Mid 50%,2,married
dec795e6d417cc0ab85dbcbe457fb6a6,3946.9774114261822,16-24,F,University degree,Prefer not to say,0,single
e4208e4334076d0901a0012b26a082ce,4964.415750592672,25-34,M,Postgraduate degree,Top 25%,2,single
e5caa636147709852fb4f2038d1b1e90,3761.888744450687,45-64,F,Trade / technical school or college,Mid 50%,1,married
edbe386519dd5f5c210a6b6f96047642,4785.1625715406935,45-64,M,University degree,Mid 50%,2,married
ee03125ec9a25f8d3a192e4aaccb8bd4,3722.7426677880653,35-44,F,University degree,Mid 50%,0,married
ef3ae53759a179727812fb3d14782b79,4452.796148340271,45-64,M,Trade / technical school or college,Bottom 25%,0,single
f1ddb76522b0d509119f234f8ac90b6d,4452.796148340271,45-64,M,Trade / technical school or college,Mid 50%,0,single
f9da52d20485b2e127d3b54c8e51eb3d,4156.2143980421615,45-64,F,Schooling until age 18,Mid 50%,3+,married
ff63983b23f68349ebb2e203ff3af34e,4964.415750592672,25-34,M,Trade / technical school or college,Mid 50%,0,single
0798e06b1713b2ae7c6f6d7781ca7f71,3761.888744450687,45-64,F,University degree,Mid 50%,2,married
095fadbbec2c5ce732bf465c09296b48,4569.578641823026,35-44,M,Schooling until age 18,Top 25%,0,single
13f805339746b2d2fba55fa624823d4d,3722.7426677880653,35-44,F,Trade / technical school or college,Mid 50%,0,single
16c3c7ff5dbd5b3f44c94eac25b5d684,4964.415750592672,25-34,M,University degree,Top 25%,1,married
19c5b80263eb8ddb12056b5556092b7f,6556.642585168079,16-24,M,Schooling until age 18,Prefer not to say,0,single
1be2729bd4ff3ef39c7d9a82ba356600,3946.9774114261822,16-24,F,Schooling until age 18,Mid 50%,0,single
22fdb0765c6a2f64126e99304f23ab5e,4452.796148340271,45-64,M,Schooling until age 18,Mid 50%,2,married
2a70011bd1c7104b7b176893c94684a4,4569.578641823026,35-44,M,University degree,Top 25%,0,single
321007e59de2cb77f457cba99aa797f5,4569.578641823026,35-44,M,Postgraduate degree,Top 25%,1,married
37afee7c536e67d601754a70ab8940e5,4785.1625715406935,45-64,M,Trade / technical school or college,Bottom 25%,0,married
37f5060cc62ad19895a61304b75e083f,3691.0130847656283,25-34,F,University degree,Prefer not to say,0,single
388da4da425f23a7f53c5239be836da5,4452.796148340271,45-64,M,Trade / technical school or college,Mid 50%,0,single
45cd5b3de11c87895664e3e2d2350b43,4156.2143980421615,45-64,F,Schooling until age 16,Bottom 25%,0,single
48873c98b560dc74b53a560914429118,3691.0130847656283,25-34,F,Trade / technical school or college,Top 25%,0,single
4b699f28555cf414d079e1312048f5c9,4452.796148340271,45-64,M,Postgraduate degree,Top 25%,2,married
4ce20b9bdbc28b156388b8331da447db,3946.9774114261822,16-24,F,Schooling until age 18,Bottom 25%,0,single
5bb069eea2a8f354e216d0ea0d7e2789,4452.796148340271,45-64,M,University degree,Top 25%,1,married
5e20546427507c4c9ab7c35f92a7b642,4452.796148340271,45-64,M,Schooling until age 16,Mid 50%,2,single
5e3d29923b306db3333a5c1b3b50bae5,3722.7426677880653,35-44,F,Schooling until age 18,Prefer not to say,1,married
608965d474350ad2fbcacf23c3979117,4452.796148340271,45-64,M,Postgraduate degree,Mid 50%,2,married
61e240cacd164aef2e562f62ea46d4ab,4785.1625715406935,45-64,M,Postgraduate degree,Prefer not to say,0,single
65bd0d0eabe623637f967acf9cb769f3,4452.796148340271,45-64,M,Trade / technical school or college,Top 25%,2,married
6735380fd6f784c759f0b048ca1e0fe8,4785.1625715406935,45-64,M,Schooling until age 16,Mid 50%,1,single
6877b6ff27fba977fd35ecd66907dbcb,4452.796148340271,45-64,M,Schooling until age 18,Mid 50%,1,single
6fecfa11738e71253b89ff89948e73b4,3722.7426677880653,35-44,F,Schooling until age 18,Bottom 25%,1,married
7e22e8dc8f49b16436ebe7b460f76e6f,6556.642585168079,16-24,M,Schooling until age 18,Prefer not to say,0,single
87bedcec5cf5d5484237a10276336b51,3691.0130847656283,25-34,F,Trade / technical school or college,Mid 50%,0,single
8c321792723e247eed579c3cd55a024e,3761.888744450687,45-64,F,Schooling until age 16,Mid 50%,3+,married
8f26ea65b34775c0b066708ece0dbc0c,6556.642585168079,16-24,M,Trade / technical school or college,Mid 50%,0,single
9481476ad75c7894e6cab5921182b228,6556.642585168079,16-24,M,Schooling until age 16,Bottom 25%,0,single
9ae8a0843b2ecc78bc8bf4ce48288871,3722.7426677880653,35-44,F,Schooling until age 16,Mid 50%,3+,married
9e244a2258109ad1f3757685dcef9a98,4156.2143980421615,45-64,F,Trade / technical school or college,Top 25%,0,married
9ee3e8f7f6364adea4c63e8289abb104,3946.9774114261822,16-24,F,Schooling until age 16,Prefer not to say,0,single
a71d29d0766afbdb52a3ec933b3aca5e,3722.7426677880653,35-44,F,University degree,Bottom 25%,2,single
a8fe4346e3482cf2a0b533931f819beb,3722.7426677880653,35-44,F,Schooling until age 18,Mid 50%,2,married
a9283abe1f7300985f4d3259ad28bebd,4785.1625715406935,45-64,M,Trade / technical school or college,Mid 50%,0,single
abc398611687d60b3b6964fa5d952c14,3946.9774114261822,16-24,F,Schooling until age 18,Prefer not to say,0,single
b078bbbe1a37f9a3030f5caa52227993,4452.796148340271,45-64,M,Schooling until age 16,Bottom 25%,2,single
b26d4ab6f4d27afe89dd58eddf60fea3,3761.888744450687,45-64,F,University degree,Mid 50%,2,married
b2c610593c15f242a8f85fbc7e2689a7,3761.888744450687,45-64,F,Schooling until age 16,Mid 50%,3+,single
b5cc3eded517ba8b7de92c9c2beff2a8,4569.578641823026,35-44,M,University degree,Mid 50%,1,married
bf1a1adb9977ff4d0251f6cbebc54c85,3722.7426677880653,35-44,F,Trade / technical school or college,Mid 50%,3+,married
c2a973fdbde4f4b71b904659f0fbbec6,4785.1625715406935,45-64,M,University degree,Prefer not to say,2,married
c37803f5b4cf8bbd3990224e8866b7d5,4569.578641823026,35-44,M,University degree,Top 25%,2,married
c80f039d13f9f2e802b9e06d2400660c,3691.0130847656283,25-34,F,Trade / technical school or college,Bottom 25%,0,single
d0c8463895ec1c14e9e74da6a0af1414,3761.888744450687,45-64,F,University degree,Mid 50%,1,single
d954844895599b6674c2b0adfa56b295,3722.7426677880653,35-44,F,Trade / technical school or college,Top 25%,2,married
dee3fa96a1a2763603ceae78f4601151,3691.0130847656283,25-34,F,Schooling until age 16,Mid 50%,1,single
e0fe3a776ab7b4309976920332f573a8,3946.9774114261822,16-24,F,University degree,Prefer not to say,0,single
e8a999a627e86d69de522d53424e8464,4569.578641823026,35-44,M,Schooling until age 18,Mid 50%,0,single
eabf683733a437b619671606f0bc3db0,4785.1625715406935,45-64,M,Postgraduate degree,Top 25%,1,married
eb7e84fb044081f43c7ded749ec38ecd,6556.642585168079,16-24,M,Schooling until age 18,Mid 50%,0,single
f8248531decc20f368c30bb01b8f06cd,6556.642585168079,16-24,M,University degree,Mid 50%,0,single
fbc91e306a8fde49947536a66cf67dec,4785.1625715406935,45-64,M,Trade / technical school or college,Mid 50%,1,married
0993b01f697d18a0945506557e293343,4452.796148340271,45-64,M,Schooling until age 18,Mid 50%,3+,married
0b6d8b646a25d68f84f93896c4a8caab,3722.7426677880653,35-44,F,University degree,Top 25%,2,married
1203995062392827a6ef4d25fa45eba4,3946.9774114261822,16-24,F,Postgraduate degree,Mid 50%,0,single
157dbeae2f59c85c77f2c09a5bebefaf,3691.0130847656283,25-34,F,Schooling until age 18,Bottom 25%,1,married
195288a4d77ed82441a6dbe0b777306c,4452.796148340271,45-64,M,Postgraduate degree,Mid 50%,3+,married
1e40127965b9e96ab9008926cc551586,3722.7426677880653,35-44,F,Trade / technical school or college,Mid 50%,0,single
2f0476c0ccb4f4e719e4cc0dc4a3f0a8,3722.7426677880653,35-44,F,Schooling until age 18,Mid 50%,0,single
43ab414b1eca119170c279c393ad5978,4452.796148340271,45-64,M,University degree,Mid 50%,3+,married
43f43415f9e8a502927ed84ec89dbac3,4964.415750592672,25-34,M,Schooling until age 16,Bottom 25%,0,single
47a40e08ce4e7cfc87e68a8acc4746b1,3691.0130847656283,25-34,F,Postgraduate degree,Bottom 25%,0,single
52711516327ac987888466a4a8be6217,6556.642585168079,16-24,M,Trade / technical school or college,Bottom 25%,2,married
54547d4e5b017c541c39a6777f0c5546,4785.1625715406935,45-64,M,Schooling until age 16,Top 25%,1,single
5692d4bd77e49f846fbdc30f9cfc0956,4964.415750592672,25-34,M,Trade / technical school or college,Mid 50%,0,single
5e57af6836e483a4feb8e0dab4a7ab4e,3722.7426677880653,35-44,F,Schooling until age 18,Mid 50%,2,single
5f70cf1dfb2c6b12274c013c45188344,4785.1625715406935,45-64,M,Schooling until age 16,Bottom 25%,0,single
6146347cb8ba13d2086a91bf1c90af48,4785.1625715406935,45-64,M,Schooling until age 16,Mid 50%,2,married
6f8ef4800aea8d5e50440f8a598584c8,3722.7426677880653,35-44,F,University degree,Mid 50%,2,married
750eb3f7851f588162e309ef9a393759,4452.796148340271,45-64,M,Postgraduate degree,Mid 50%,3+,single
7ab7668bbcce2f398bc15771e4cfd79f,3946.9774114261822,16-24,F,Schooling until age 18,Bottom 25%,0,single
9242a58063037f7228af1f962cd6653b,6556.642585168079,16-24,M,Schooling until age 18,Mid 50%,0,single
9d2f7c1b05552a0e5071d64dfef34bc6,3761.888744450687,45-64,F,Schooling until age 18,Mid 50%,0,single
9e711dd6e3ebc27dd47c357757538e7b,3691.0130847656283,25-34,F,Trade / technical school or college,Mid 50%,2,married
9e9930716e111c88cbc524e665f318b7,3722.7426677880653,35-44,F,University degree,Top 25%,1,married
a3a37f08ae80dc146b1f6a4edad20acd,3691.0130847656283,25-34,F,University degree,Mid 50%,0,married
a5670b92b168cc5f27cb5062777dacd6,3691.0130847656283,25-34,F,Postgraduate degree,Top 25%,0,married
a69b935d1b48cf59fdbb2329d39bd79f,4569.578641823026,35-44,M,University degree,Top 25%,0,married
a784dfc49b3588350557af9c0720cbdc,6556.642585168079,16-24,M,Schooling until age 16,Mid 50%,0,single
aac56314903364fc87ab50d99cf2a7af,6556.642585168079,16-24,M,University degree,Bottom 25%,0,single
b81cb33d7f274bf079b7ac2055617feb,3761.888744450687,45-64,F,Postgraduate degree,Mid 50%,1,single
ba0bf38c1b214232693d54a77f34d118,3691.0130847656283,25-34,F,Schooling until age 18,Top 25%,1,married
c8cbeac86444b409e31a246067be774f,4452.796148340271,45-64,M,Schooling until age 16,Mid 50%,2,married
d6284c351d4a4a646ff7e3e7d5be4e00,4785.1625715406935,45-64,M,University degree,Mid 50%,3+,married
da7784df77407a27d6f18cc8f08d412e,4156.2143980421615,45-64,F,University degree,Mid 50%,3+,single
ed84a6f47d74124071d982483a0f8ce3,3761.888744450687,45-64,F,Trade / technical school or college,Prefer not to say,3+,single
ef3b853e0782e7debd454a888c2cabdf,4452.796148340271,45-64,M,University degree,Mid 50%,0,married
f1a24f30a0d77bcc0fb7c09e9d0b7384,3691.0130847656283,25-34,F,Trade / technical school or college,Mid 50%,0,single
f46276d6e9881183b24afafa43ec000a,6556.642585168079,16-24,M,Trade / technical school or college,Mid 50%,0,single
ff452b596bfdaebb40f7f1fa32499385,4785.1625715406935,45-64,M,Trade / technical school or college,Bottom 25%,0,single
ffa6feb628dfaed3343cb586078df954,4452.796148340271,45-64,M,Postgraduate degree,Prefer not to say,2,married
