ViewerID,age,gender,children,marital,Household Size,Social Class,Household Status,Working Status,Ethnic Origin,Number of TV sets,Digital Status,Cable/Satellite,Multi Channel Status,TV Platform Reception Type,Mosaic Classification
1751-1,45-64,M,0,married,2 people,AB,Head of household,30+ hours per week,White British,2,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only,Professional Rewards - Mid-Career Climbers
1751-2,45-64,F,0,married,2 people,AB,Housewife,8-29 hours per week,White British,2,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only,Professional Rewards - Mid-Career Climbers
1816-1,45-64,M,0,married,3 people,AB,Head of household,30+ hours per week,White British,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only,Terraced Melting Pot - Global Fusion
1816-2,45-64,F,0,married,3 people,AB,Housewife,8-29 hours per week,White British,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only,Terraced Melting Pot - Global Fusion
1816-4,16-24,F,0,single,3 people,AB,Neither hw nor hh,8-29 hours per week,White British,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only,Terraced Melting Pot - Global Fusion
2785-2,45-64,F,1,single,3 people,E,Neither hw nor hh,30+ hours per week,Black – Caribbean,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only,Upper Floor Living - Re-Housed Migrants
3145-1,45-64,F,1,single,5 people,C2,housewife and head of household,30+ hours per week,White British,3,Digital Terrestrial & Digital Satellite,Satellite,Digital Multichannel Only,Digital Terrestrial and Digital Satellite Only,Terraced Melting Pot - Global Fusion
3145-2,45-64,M,1,married,5 people,C2,Neither hw nor hh,30+ hours per week,White British,3,Digital Terrestrial & Digital Satellite,Satellite,Digital Multichannel Only,Digital Terrestrial and Digital Satellite Only,Terraced Melting Pot - Global Fusion
3145-3,25-34,F,1,single,5 people,C2,Neither hw nor hh,30+ hours per week,White British,3,Digital Terrestrial & Digital Satellite,Satellite,Digital Multichannel Only,Digital Terrestrial and Digital Satellite Only,Terraced Melting Pot - Global Fusion
3145-4,16-24,F,1,single,5 people,C2,Neither hw nor hh,f.t. education / under school,White British,3,Digital Terrestrial & Digital Satellite,Satellite,Digital Multichannel Only,Digital Terrestrial and Digital Satellite Only,Terraced Melting Pot - Global Fusion
3198-1,35-44,M,0,married,4 people,AB,Head of household,30+ hours per week,Asian – Indian,1,Digital Cable Only,Cable,Digital Multichannel Only,Digital Cable Only,Suburban Mindsets - Asian Attainment
3198-2,35-44,F,0,married,4 people,AB,Neither hw nor hh,30+ hours per week,Asian – Indian,1,Digital Cable Only,Cable,Digital Multichannel Only,Digital Cable Only,Suburban Mindsets - Asian Attainment
3198-4,35-44,F,0,single,4 people,AB,Housewife,30+ hours per week,Asian – Indian,1,Digital Cable Only,Cable,Digital Multichannel Only,Digital Cable Only,Suburban Mindsets - Asian Attainment
3261-3,25-34,M,0,single,3 people,C1,Neither hw nor hh,f.t. education / under school,White British,1,Digital Satellite Only,Satellite,Digital Multichannel Only,Digital Satellite Only,Industrial Heritage - Small Wage Owners
3261-4,25-34,M,0,single,3 people,C1,Neither hw nor hh,30+ hours per week,White British,1,Digital Satellite Only,Satellite,Digital Multichannel Only,Digital Satellite Only,Industrial Heritage - Small Wage Owners
3507-1,45-64,M,0,married,2 people,AB,Head of household,30+ hours per week,Other White,3,Digital Terrestrial & Digital Satellite,Satellite,Digital Multichannel Only,Digital Terrestrial and Digital Satellite Only,Liberal Opinions - Crash Pad Professionals
3507-2,45-64,F,0,married,2 people,AB,Housewife,30+ hours per week,White British,3,Digital Terrestrial & Digital Satellite,Satellite,Digital Multichannel Only,Digital Terrestrial and Digital Satellite Only,Liberal Opinions - Crash Pad Professionals
3538-1,45-64,F,1,single,3 people,C2,housewife and head of household,30+ hours per week,Black – Caribbean,1,Digital Terrestrial & Digital Satellite,Satellite,Digital Multichannel Only,Digital Terrestrial and Digital Satellite Only,Upper Floor Living - Multicultural Towers
3538-2,45-64,F,1,single,3 people,C2,Neither hw nor hh,No paid work,Black – Caribbean,1,Digital Terrestrial & Digital Satellite,Satellite,Digital Multichannel Only,Digital Terrestrial and Digital Satellite Only,Upper Floor Living - Multicultural Towers
3554-1,35-44,M,1,married,3 people,AB,housewife and head of household,30+ hours per week,White British,1,Digital Satellite Only,Satellite,Digital Multichannel Only,Digital Satellite Only,Terraced Melting Pot - Global Fusion
3554-2,35-44,F,1,married,3 people,AB,Neither hw nor hh,30+ hours per week,White British,1,Digital Satellite Only,Satellite,Digital Multichannel Only,Digital Satellite Only,Terraced Melting Pot - Global Fusion
6169-1,45-64,F,0,single,2 people,AB,housewife and head of household,No paid work,White British,4,Digital Terrestrial & Digital Satellite,Satellite,Digital Multichannel Only,Digital Terrestrial and Digital Satellite Only,Upper Floor Living - Tenement Living
6169-5,45-64,M,0,single,2 people,AB,Neither hw nor hh,30+ hours per week,White British,4,Digital Terrestrial & Digital Satellite,Satellite,Digital Multichannel Only,Digital Terrestrial and Digital Satellite Only,Upper Floor Living - Tenement Living
6952-2,45-64,M,0,married,2 people,C1,Head of household,30+ hours per week,White British,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only,Upper Floor Living - Multicultural Towers
7193-1,45-64,F,0,married,2 people,AB,housewife and head of household,30+ hours per week,White British,1,Digital Terrestrial & Digital Cable,Cable,Digital Multichannel Only,Digital Terrestrial and Digital Cable Only,Upper Floor Living - Multicultural Towers
7193-4,45-64,M,0,married,2 people,AB,Neither hw nor hh,30+ hours per week,Black – Caribbean,1,Digital Terrestrial & Digital Cable,Cable,Digital Multichannel Only,Digital Terrestrial and Digital Cable Only,Upper Floor Living - Multicultural Towers
7227-3,45-64,M,0,single,3 people,D,Neither hw nor hh,30+ hours per week,White British,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only,Ex-Council Community - Stressed Borrowers
7471-1,45-64,F,0,single,2 people,C1,housewife and head of household,30+ hours per week,Black – Caribbean,2,Digital Terrestrial & Digital Satellite,Satellite,Digital Multichannel Only,Digital Terrestrial and Digital Satellite Only,Liberal Opinions - Urban Cool
7471-3,45-64,M,0,married,2 people,C1,Neither hw nor hh,30+ hours per week,Black – Caribbean,2,Digital Terrestrial & Digital Satellite,Satellite,Digital Multichannel Only,Digital Terrestrial and Digital Satellite Only,Liberal Opinions - Urban Cool
8450-1,45-64,F,0,married,3 people,AB,Housewife,8-29 hours per week,Asian – Indian,1,Digital Satellite Only,Satellite,Digital Multichannel Only,Digital Satellite Only,Careers and Kids - Footloose Managers
8450-2,45-64,M,0,married,3 people,AB,Head of household,30+ hours per week,Asian – Indian,1,Digital Satellite Only,Satellite,Digital Multichannel Only,Digital Satellite Only,Careers and Kids - Footloose Managers
8450-4,16-24,F,0,single,3 people,AB,Neither hw nor hh,30+ hours per week,Asian – Indian,1,Digital Satellite Only,Satellite,Digital Multichannel Only,Digital Satellite Only,Careers and Kids - Footloose Managers
8560-1,45-64,F,0,married,4 people,AB,Housewife,No paid work,White British,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only,Terraced Melting Pot - Global Fusion
8560-2,45-64,M,0,married,4 people,AB,Head of household,30+ hours per week,White British,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only,Terraced Melting Pot - Global Fusion
8560-4,16-24,M,0,single,4 people,AB,Neither hw nor hh,No paid work,White British,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only,Terraced Melting Pot - Global Fusion
8560-5,16-24,F,0,single,4 people,AB,Neither hw nor hh,f.t. education / under school,White British,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only,Terraced Melting Pot - Global Fusion
8563-3,25-34,M,0,single,4 people,C1,Neither hw nor hh,30+ hours per week,White British,1,Digital Terrestrial & Digital Cable,Cable,Digital Multichannel Only,Digital Terrestrial and Digital Cable Only,Liberal Opinions - Convivial Homeowners
8563-4,25-34,F,0,single,4 people,C1,Neither hw nor hh,30+ hours per week,White British,1,Digital Terrestrial & Digital Cable,Cable,Digital Multichannel Only,Digital Terrestrial and Digital Cable Only,Liberal Opinions - Convivial Homeowners
8799-3,25-34,F,0,single,3 people,AB,Neither hw nor hh,30+ hours per week,White British,2,Digital Terrestrial & Digital Cable,Cable,Digital Multichannel Only,Digital Terrestrial and Digital Cable Only,Alpha Territory - Serious Money
8805-1,45-64,M,0,married,2 people,D,Head of household,30+ hours per week,Black – Caribbean,3,Digital Terrestrial & Digital Cable,Cable,Digital Multichannel Only,Digital Terrestrial and Digital Cable Only,Suburban Mindsets - Asian Attainment
8805-2,45-64,F,0,married,2 people,D,Housewife,8-29 hours per week,Black – Caribbean,3,Digital Terrestrial & Digital Cable,Cable,Digital Multichannel Only,Digital Terrestrial and Digital Cable Only,Suburban Mindsets - Asian Attainment
8911-1,45-64,M,1,married,6 people,C1,Head of household,30+ hours per week,Black – African,3,Digital Terrestrial & Digital Satellite,Satellite,Digital Multichannel Only,Digital Terrestrial and Digital Satellite Only,Upper Floor Living - Multicultural Towers
8911-2,35-44,F,1,married,6 people,C1,Housewife,No paid work,Black – African,3,Digital Terrestrial & Digital Satellite,Satellite,Digital Multichannel Only,Digital Terrestrial and Digital Satellite Only,Upper Floor Living - Multicultural Towers
8911-3,16-24,F,1,single,6 people,C1,Neither hw nor hh,f.t. education / under school,Black – African,3,Digital Terrestrial & Digital Satellite,Satellite,Digital Multichannel Only,Digital Terrestrial and Digital Satellite Only,Upper Floor Living - Multicultural Towers
9301-2,45-64,F,0,married,4 people,D,Housewife,8-29 hours per week,White British,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only,Upper Floor Living - Re-Housed Migrants
9301-3,25-34,M,0,single,4 people,D,Neither hw nor hh,30+ hours per week,White British,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only,Upper Floor Living - Re-Housed Migrants
9301-4,25-34,M,0,single,4 people,D,Neither hw nor hh,30+ hours per week,White British,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only,Upper Floor Living - Re-Housed Migrants
9478-1,45-64,M,0,single,2 people,C1,housewife and head of household,30+ hours per week,White British,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only,Small Town Diversity - Innate Conservatives
9478-2,45-64,F,0,married,2 people,C1,Neither hw nor hh,30+ hours per week,White British,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only,Small Town Diversity - Innate Conservatives
9687-1,35-44,M,1,married,5 people,AB,Head of household,30+ hours per week,White British,2,Digital Satellite Only,Satellite,Digital Multichannel Only,Digital Satellite Only,Unclassified
9687-2,35-44,M,1,married,5 people,AB,Housewife,30+ hours per week,White British,2,Digital Satellite Only,Satellite,Digital Multichannel Only,Digital Satellite Only,Unclassified
9710-1,45-64,F,0,married,2 people,D,housewife and head of household,30+ hours per week,Black – Caribbean,1,Digital Cable Only,Cable,Digital Multichannel Only,Digital Cable Only,Upper Floor Living - Multicultural Towers
9710-2,45-64,M,0,married,2 people,D,Neither hw nor hh,30+ hours per week,Black – Caribbean,1,Digital Cable Only,Cable,Digital Multichannel Only,Digital Cable Only,Upper Floor Living - Multicultural Towers
9908-2,45-64,M,1,single,3 people,E,housewife and head of household,No paid work,Black – Caribbean,1,Digital Satellite Only,Satellite,Digital Multichannel Only,Digital Satellite Only,Liberal Opinions - Bright Young Things
9972-1,45-64,F,0,single,1 person,C1,housewife and head of household,30+ hours per week,Black – Caribbean,1,Digital Satellite Only,Satellite,Digital Multichannel Only,Digital Satellite Only,Upper Floor Living - Re-Housed Migrants
9973-1,45-64,M,0,single,2 people,D,housewife and head of household,30+ hours per week,White British,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only,New Homemakers - Buy-to-Let Territory
9973-2,45-64,F,0,single,2 people,D,Neither hw nor hh,30+ hours per week,White British,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only,New Homemakers - Buy-to-Let Territory
9997-1,35-44,M,2,married,4 people,C2,Head of household,30+ hours per week,White British,2,Digital Satellite Only,Satellite,Digital Multichannel Only,Digital Satellite Only,Small Town Diversity - Hardworking Families
9997-2,35-44,F,2,married,4 people,C2,Housewife,30+ hours per week,White British,2,Digital Satellite Only,Satellite,Digital Multichannel Only,Digital Satellite Only,Small Town Diversity - Hardworking Families
11053-1,45-64,F,0,married,3 people,AB,Housewife,No paid work,Other Asian background,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only,Small Town Diversity - Innate Conservatives
11053-2,45-64,M,0,married,3 people,AB,Head of household,30+ hours per week,White British,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only,Small Town Diversity - Innate Conservatives
11053-3,16-24,F,0,single,3 people,AB,Neither hw nor hh,f.t. education / under school,Black – other,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only,Small Town Diversity - Innate Conservatives
11415-1,45-64,F,0,married,4 people,C1,Housewife,30+ hours per week,Asian – Indian,2,Digital Satellite & Digital Cable,Both Satellite and Cable,Digital Multichannel Only,Digital Satellite and Digital Cable Only,Suburban Mindsets - Garden Suburbia
11415-2,45-64,M,0,married,4 people,C1,Head of household,30+ hours per week,Asian – Indian,2,Digital Satellite & Digital Cable,Both Satellite and Cable,Digital Multichannel Only,Digital Satellite and Digital Cable Only,Suburban Mindsets - Garden Suburbia
11415-3,25-34,F,0,single,4 people,C1,Neither hw nor hh,f.t. education / under school,Asian – Indian,2,Digital Satellite & Digital Cable,Both Satellite and Cable,Digital Multichannel Only,Digital Satellite and Digital Cable Only,Suburban Mindsets - Garden Suburbia
11415-4,25-34,M,0,single,4 people,C1,Neither hw nor hh,f.t. education / under school,Asian – Indian,2,Digital Satellite & Digital Cable,Both Satellite and Cable,Digital Multichannel Only,Digital Satellite and Digital Cable Only,Suburban Mindsets - Garden Suburbia
11562-1,45-64,F,1,married,4 people,C1,Housewife,8-29 hours per week,White British,2,Digital Terrestrial & Digital Cable,Cable,Digital Multichannel Only,Digital Terrestrial and Digital Cable Only,Suburban Mindsets - Garden Suburbia
11562-2,45-64,M,1,married,4 people,C1,Head of household,30+ hours per week,White British,2,Digital Terrestrial & Digital Cable,Cable,Digital Multichannel Only,Digital Terrestrial and Digital Cable Only,Suburban Mindsets - Garden Suburbia
11818-1,45-64,M,0,single,1 person,AB,housewife and head of household,30+ hours per week,Black – Caribbean,1,Digital Cable Only,Cable,Digital Multichannel Only,Digital Cable Only,Ex-Council Community - Stressed Borrowers
11991-1,35-44,F,0,single,2 people,C2,housewife and head of household,30+ hours per week,White British,2,Digital Terrestrial & Digital Cable,Cable,Digital Multichannel Only,Digital Terrestrial and Digital Cable Only,Terraced Melting Pot - Global Fusion
11991-2,35-44,M,0,married,2 people,C2,Neither hw nor hh,30+ hours per week,White British,2,Digital Terrestrial & Digital Cable,Cable,Digital Multichannel Only,Digital Terrestrial and Digital Cable Only,Terraced Melting Pot - Global Fusion
12115-2,45-64,M,0,single,3 people,E,Neither hw nor hh,No paid work,White British,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only,Liberal Opinions - Bright Young Things
12115-3,45-64,F,0,single,3 people,E,Housewife,No paid work,White British,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only,Liberal Opinions - Bright Young Things
12167-1,45-64,M,2,married,5 people,AB,Head of household,30+ hours per week,Black – African,1,Digital Cable Only,Cable,Digital Multichannel Only,Digital Cable Only,Terraced Melting Pot - Global Fusion
12167-2,45-64,F,2,married,5 people,AB,Housewife,30+ hours per week,Black – Caribbean,1,Digital Cable Only,Cable,Digital Multichannel Only,Digital Cable Only,Terraced Melting Pot - Global Fusion
12196-1,45-64,F,0,married,3 people,C1,Housewife,30+ hours per week,White British,4,Digital Terrestrial & Digital Cable,Cable,Digital Multichannel Only,Digital Terrestrial and Digital Cable Only,Liberal Opinions - Convivial Homeowners
12196-2,45-64,M,0,married,3 people,C1,Head of household,30+ hours per week,White British,4,Digital Terrestrial & Digital Cable,Cable,Digital Multichannel Only,Digital Terrestrial and Digital Cable Only,Liberal Opinions - Convivial Homeowners
12196-3,25-34,M,0,single,3 people,C1,Neither hw nor hh,30+ hours per week,White British,4,Digital Terrestrial & Digital Cable,Cable,Digital Multichannel Only,Digital Terrestrial and Digital Cable Only,Liberal Opinions - Convivial Homeowners
12256-1,45-64,F,0,single,2 people,C2,housewife and head of household,8-29 hours per week,Black – Caribbean,1,Digital Cable Only,Cable,Digital Multichannel Only,Digital Cable Only,Upper Floor Living - Multicultural Towers
12256-2,25-34,F,0,single,2 people,C2,Neither hw nor hh,8-29 hours per week,Black – Caribbean,1,Digital Cable Only,Cable,Digital Multichannel Only,Digital Cable Only,Upper Floor Living - Multicultural Towers
12350-1,45-64,F,0,married,2 people,AB,Housewife,8-29 hours per week,White British,2,Digital Terrestrial & Digital Satellite,Satellite,Digital Multichannel Only,Digital Terrestrial and Digital Satellite Only,Professional Rewards - Dormitory Villagers
12350-2,45-64,M,0,married,2 people,AB,Head of household,30+ hours per week,White British,2,Digital Terrestrial & Digital Satellite,Satellite,Digital Multichannel Only,Digital Terrestrial and Digital Satellite Only,Professional Rewards - Dormitory Villagers
13305-1,25-34,F,2,married,4 people,AB,Housewife,8-29 hours per week,White British,2,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only,Suburban Mindsets - Production Managers
13305-2,35-44,M,2,married,4 people,AB,Head of household,30+ hours per week,White British,2,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only,Suburban Mindsets - Production Managers
13783-2,45-64,F,0,married,2 people,AB,Housewife,30+ hours per week,White British,5,Digital Terrestrial & Digital Cable,Cable,Digital Multichannel Only,Digital Terrestrial and Digital Cable Only,Suburban Mindsets - Garden Suburbia
13843-1,45-64,M,1,married,4 people,AB,Head of household,30+ hours per week,Black – African,2,Digital Terrestrial & Digital Satellite,Satellite,Digital Multichannel Only,Digital Terrestrial and Digital Satellite Only,Careers and Kids - Childcare Years
13843-2,45-64,F,1,married,4 people,AB,Housewife,30+ hours per week,Black – African,2,Digital Terrestrial & Digital Satellite,Satellite,Digital Multichannel Only,Digital Terrestrial and Digital Satellite Only,Careers and Kids - Childcare Years
13877-1,45-64,M,0,married,2 people,E,Neither hw nor hh,No paid work,Asian – Indian,1,Digital Terrestrial & Digital Satellite,Satellite,Digital Multichannel Only,Digital Terrestrial and Digital Satellite Only,Upper Floor Living - Re-Housed Migrants
13877-2,45-64,F,0,married,2 people,E,housewife and head of household,No paid work,Asian – Indian,1,Digital Terrestrial & Digital Satellite,Satellite,Digital Multichannel Only,Digital Terrestrial and Digital Satellite Only,Upper Floor Living - Re-Housed Migrants
13919-1,45-64,M,0,single,1 person,E,housewife and head of household,30+ hours per week,White British,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only,Upper Floor Living - Small Block Singles
14123-1,45-64,F,0,married,5 people,AB,Housewife,No paid work,Asian – Indian,1,Digital Satellite Only,Satellite,Digital Multichannel Only,Digital Satellite Only,Terraced Melting Pot - Global Fusion
14123-2,45-64,M,0,married,5 people,AB,Head of household,30+ hours per week,Asian – Indian,1,Digital Satellite Only,Satellite,Digital Multichannel Only,Digital Satellite Only,Terraced Melting Pot - Global Fusion
14123-3,25-34,F,0,single,5 people,AB,Neither hw nor hh,f.t. education / under school,Asian – Indian,1,Digital Satellite Only,Satellite,Digital Multichannel Only,Digital Satellite Only,Terraced Melting Pot - Global Fusion
14123-4,16-24,M,0,single,5 people,AB,Neither hw nor hh,f.t. education / under school,Asian – Indian,1,Digital Satellite Only,Satellite,Digital Multichannel Only,Digital Satellite Only,Terraced Melting Pot - Global Fusion
14123-5,16-24,F,0,single,5 people,AB,Neither hw nor hh,f.t. education / under school,Asian – Indian,1,Digital Satellite Only,Satellite,Digital Multichannel Only,Digital Satellite Only,Terraced Melting Pot - Global Fusion
14194-2,45-64,F,0,married,2 people,C1,Housewife,8-29 hours per week,White British,1,Digital Cable Only,Cable,Digital Multichannel Only,Digital Cable Only,Careers and Kids - Domestic Comfort
14194-4,25-34,F,0,married,4 people,C1,Neither hw nor hh,30+ hours per week,White British,1,Digital Cable Only,Cable,Digital Multichannel Only,Digital Cable Only,Careers and Kids - Domestic Comfort
14194-7,25-34,M,0,single,4 people,C1,Neither hw nor hh,30+ hours per week,White British,1,Digital Cable Only,Cable,Digital Multichannel Only,Digital Cable Only,Careers and Kids - Domestic Comfort
14696-1,35-44,F,0,single,2 people,C1,housewife and head of household,30+ hours per week,Asian – Indian,2,Digital Cable Only,Cable,Digital Multichannel Only,Digital Cable Only,New Homemakers - Foot on the Ladder
14696-2,35-44,M,0,married,2 people,C1,Neither hw nor hh,No paid work,Asian – Indian,2,Digital Cable Only,Cable,Digital Multichannel Only,Digital Cable Only,New Homemakers - Foot on the Ladder
15830-1,45-64,F,0,married,3 people,C2,Housewife,30+ hours per week,White British,1,Digital Cable Only,Cable,Digital Multichannel Only,Digital Cable Only,New Homemakers - Foot on the Ladder
15830-2,45-64,M,0,married,3 people,C2,Head of household,30+ hours per week,White British,1,Digital Cable Only,Cable,Digital Multichannel Only,Digital Cable Only,New Homemakers - Foot on the Ladder
15838-1,35-44,F,3+,married,6 people,C1,Housewife,8-29 hours per week,Other White,1,Digital Satellite Only,Satellite,Digital Multichannel Only,Digital Satellite Only,Suburban Mindsets - Garden Suburbia
15838-2,35-44,M,3+,married,6 people,C1,Head of household,30+ hours per week,Other White,1,Digital Satellite Only,Satellite,Digital Multichannel Only,Digital Satellite Only,Suburban Mindsets - Garden Suburbia
15838-8,35-44,M,3+,single,6 people,C1,Neither hw nor hh,30+ hours per week,Other White,1,Digital Satellite Only,Satellite,Digital Multichannel Only,Digital Satellite Only,Suburban Mindsets - Garden Suburbia
15845-2,45-64,F,0,single,2 people,AB,Neither hw nor hh,f.t. education / under school,Refused,1,Digital Terrestrial & Digital Satellite,Satellite,Digital Multichannel Only,Digital Terrestrial and Digital Satellite Only,Liberal Opinions - Bright Young Things
15928-1,45-64,M,0,married,3 people,AB,Head of household,30+ hours per week,Asian – Pakistani,2,Digital Satellite Only,Satellite,Digital Multichannel Only,Digital Satellite Only,New Homemakers - Foot on the Ladder
15928-2,45-64,F,0,married,3 people,AB,Housewife,30+ hours per week,White British,2,Digital Satellite Only,Satellite,Digital Multichannel Only,Digital Satellite Only,New Homemakers - Foot on the Ladder
15928-3,16-24,M,0,single,3 people,AB,Neither hw nor hh,f.t. education / under school,White British,2,Digital Satellite Only,Satellite,Digital Multichannel Only,Digital Satellite Only,New Homemakers - Foot on the Ladder
16093-1,45-64,F,0,single,1 person,D,housewife and head of household,8-29 hours per week,White British,2,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only,Careers and Kids - Footloose Managers
16141-4,45-64,M,0,married,2 people,C1,Neither hw nor hh,30+ hours per week,Other White,4,Digital Terrestrial & Digital Cable,Cable,Digital Multichannel Only,Digital Terrestrial and Digital Cable Only,Suburban Mindsets - Garden Suburbia
16957-1,45-64,M,0,married,2 people,C1,Head of household,30+ hours per week,White British,2,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only,Professional Rewards - Yesterday's Captains
16957-2,45-64,F,0,married,2 people,C1,Housewife,8-29 hours per week,White British,2,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only,Professional Rewards - Yesterday's Captains
17215-1,45-64,M,0,married,2 people,C2,housewife and head of household,30+ hours per week,White British,2,Digital Terrestrial & Digital Satellite,Satellite,Digital Multichannel Only,Digital Terrestrial and Digital Satellite Only,Liberal Opinions - Urban Cool
