respondent-id,age,gender,education,income,children,marital,pets
SX698Z,16-24,F,Trade / technical school or college,Bottom 25%,0,single,3+
KP246G,45-64,F,Schooling until age 18,Top 25%,0,married,1
KI483N,35-44,F,Schooling until age 18,Mid 50%,2,married,0
ES405T,45-64,M,Schooling until age 18,Top 25%,0,single,2
BI112N,45-64,M,Schooling until age 16,Mid 50%,0,single,3+
TX197Y,25-34,M,Trade / technical school or college,Bottom 25%,0,single,1
LU601A,45-64,F,Schooling until age 18,Top 25%,1,married,1
ID363E,45-64,F,Postgraduate degree,Mid 50%,0,single,3+
WP786Q,45-64,F,University degree,Top 25%,2,married,3+
UO695N,45-64,F,Trade / technical school or college,Bottom 25%,1,single,1
NH796R,16-24,F,University degree,Bottom 25%,0,single,1
ZI737J,16-24,F,University degree,Mid 50%,3+,single,1
EM997R,25-34,F,Trade / technical school or college,Bottom 25%,3+,single,2
UP838H,45-64,F,Schooling until age 18,Bottom 25%,1,married,2
SA641L,35-44,M,Schooling until age 16,Bottom 25%,2,single,2
VZ348W,45-64,F,Schooling until age 18,Mid 50%,3+,married,3+
TC923D,35-44,M,Schooling until age 18,Mid 50%,2,married,0
HE962C,45-64,F,University degree,Mid 50%,3+,single,2
TK292V,35-44,F,Schooling until age 16,Bottom 25%,2,single,2
BI500N,45-64,M,Schooling until age 18,Mid 50%,2,single,1
SQ256B,16-24,F,Schooling until age 18,Prefer not to say,0,single,0
UQ772Y,45-64,M,Postgraduate degree,Bottom 25%,1,married,0
RT341B,16-24,F,University degree,Mid 50%,0,married,1
OL712T,35-44,F,University degree,Bottom 25%,0,single,0
XP497C,45-64,M,Trade / technical school or college,Mid 50%,0,single,3+
DM510J,16-24,F,Schooling until age 18,Bottom 25%,1,single,2
FU475E,35-44,M,Trade / technical school or college,Mid 50%,3+,single,2
RC262L,45-64,M,Trade / technical school or college,Top 25%,0,single,2
VW315U,16-24,M,Schooling until age 18,Mid 50%,0,single,0
YB572Q,25-34,M,University degree,Mid 50%,2,married,3+
CQ544H,25-34,M,University degree,Bottom 25%,0,single,0
YU828Z,16-24,M,University degree,Bottom 25%,0,single,3+
VP391I,35-44,M,Postgraduate degree,Top 25%,2,single,1
GF966F,45-64,F,Postgraduate degree,Top 25%,2,married,1
PO150Y,25-34,F,Schooling until age 16,Bottom 25%,1,single,1
ZE115N,25-34,F,Schooling until age 18,Bottom 25%,1,single,0
MU409Y,25-34,M,Postgraduate degree,Top 25%,1,single,2
RU453E,35-44,M,Trade / technical school or college,Mid 50%,1,single,3+
WD441H,25-34,M,Postgraduate degree,Top 25%,1,married,2
CY247F,35-44,F,University degree,Mid 50%,3+,married,3+
WC892F,35-44,F,University degree,Top 25%,2,single,2
SZ927N,45-64,F,University degree,Top 25%,2,married,1
XJ908K,35-44,F,Schooling until age 16,Bottom 25%,1,married,2
JN585H,45-64,F,University degree,Top 25%,1,married,0
IW939R,25-34,F,Schooling until age 16,Mid 50%,2,single,1
IO736F,45-64,F,Trade / technical school or college,Top 25%,3+,single,1
IT602O,16-24,F,Schooling until age 18,Top 25%,0,single,2
VS168X,45-64,M,Trade / technical school or college,Bottom 25%,0,single,0
WH108D,45-64,F,University degree,Mid 50%,1,married,3+
KT547E,45-64,M,University degree,Top 25%,1,married,0
GV354M,25-34,F,Schooling until age 16,Mid 50%,0,single,1
QV192O,45-64,F,University degree,Prefer not to say,1,married,3+
TY500B,35-44,F,University degree,Top 25%,1,married,1
WN313C,35-44,M,Schooling until age 18,Top 25%,1,single,1
EL839J,25-34,F,University degree,Mid 50%,1,married,0
XN167A,45-64,M,Schooling until age 18,Bottom 25%,1,married,0
YH749C,45-64,M,University degree,Mid 50%,0,single,2
US771J,16-24,F,Schooling until age 18,Prefer not to say,0,single,0
LE725M,35-44,M,University degree,Mid 50%,0,single,3+
CJ981W,35-44,M,University degree,Mid 50%,2,married,1
OT543O,16-24,F,University degree,Top 25%,0,single,1
EI536D,35-44,F,Schooling until age 18,Mid 50%,2,married,3+
KP440P,45-64,M,Schooling until age 18,Top 25%,3+,married,1
TV816S,45-64,F,Schooling until age 18,Mid 50%,2,single,0
DM368D,45-64,F,Schooling until age 18,Bottom 25%,0,married,2
YM862X,25-34,F,Schooling until age 16,Bottom 25%,2,single,0
AS492W,16-24,M,University degree,Prefer not to say,0,single,1
EB388R,45-64,F,University degree,Mid 50%,0,single,1
TU987F,16-24,F,University degree,Mid 50%,0,single,2
TH316P,25-34,F,Schooling until age 18,Prefer not to say,0,single,3+
FM581Y,45-64,F,Schooling until age 18,Mid 50%,2,single,0
YQ867L,45-64,F,Schooling until age 18,Mid 50%,1,single,1
JJ370T,16-24,M,Schooling until age 16,Bottom 25%,0,single,1
LY394Q,35-44,F,University degree,Mid 50%,3+,married,1
SY864J,45-64,M,Schooling until age 16,Bottom 25%,0,single,2
GV481N,45-64,F,Schooling until age 18,Mid 50%,2,single,3+
RT274P,25-34,F,Schooling until age 18,Mid 50%,2,married,0
WP388J,25-34,M,Postgraduate degree,Top 25%,1,married,2
IJ930Y,45-64,F,University degree,Mid 50%,2,single,0
HP411P,45-64,F,Trade / technical school or college,Prefer not to say,1,married,2
BU668N,45-64,M,Schooling until age 16,Mid 50%,2,married,3+
XU685U,35-44,F,University degree,Top 25%,1,married,3+
EY146O,25-34,F,Schooling until age 18,Bottom 25%,2,single,0
UV940U,45-64,F,Schooling until age 16,Mid 50%,2,married,3+
JP389Z,45-64,F,Trade / technical school or college,Bottom 25%,0,single,0
GB265W,45-64,F,Trade / technical school or college,Mid 50%,1,single,1
RX843Y,45-64,M,Trade / technical school or college,Mid 50%,3+,married,0
DD631V,35-44,F,Trade / technical school or college,Prefer not to say,0,single,2
QN545S,45-64,F,Schooling until age 16,Mid 50%,3+,married,2
TO857E,35-44,F,Postgraduate degree,Mid 50%,2,married,3+
WD960M,16-24,F,University degree,Prefer not to say,0,single,1
PQ736D,25-34,M,Postgraduate degree,Top 25%,2,single,3+
FI678E,45-64,F,Trade / technical school or college,Mid 50%,1,married,3+
MD177Q,45-64,M,University degree,Mid 50%,2,married,3+
RJ126I,35-44,F,University degree,Mid 50%,0,married,2
ON564H,45-64,M,Trade / technical school or college,Bottom 25%,0,single,2
VF763J,45-64,M,Trade / technical school or college,Mid 50%,0,single,3+
DO155D,45-64,F,Schooling until age 18,Mid 50%,3+,married,0
HX133Z,25-34,M,Trade / technical school or college,Mid 50%,0,single,0
TO160F,45-64,F,University degree,Mid 50%,2,married,2
RM825H,35-44,M,Schooling until age 18,Top 25%,0,single,1
MF238Z,35-44,F,Trade / technical school or college,Mid 50%,0,single,0
GM828F,25-34,M,University degree,Top 25%,1,married,1
TE893J,16-24,M,Schooling until age 18,Prefer not to say,0,single,0
GW457D,16-24,F,Schooling until age 18,Mid 50%,0,single,3+
GC364M,45-64,M,Schooling until age 18,Mid 50%,2,married,3+
MV101U,35-44,M,University degree,Top 25%,0,single,3+
HW454M,35-44,M,Postgraduate degree,Top 25%,1,married,1
LJ216R,45-64,M,Trade / technical school or college,Bottom 25%,0,married,1
JK452Z,25-34,F,University degree,Prefer not to say,0,single,1
ZJ997N,45-64,M,Trade / technical school or college,Mid 50%,0,single,1
HQ585D,45-64,F,Schooling until age 16,Bottom 25%,0,single,0
MB960C,25-34,F,Trade / technical school or college,Top 25%,0,single,3+
RF761Z,45-64,M,Postgraduate degree,Top 25%,2,married,3+
LD615Y,16-24,F,Schooling until age 18,Bottom 25%,0,single,0
SH899Z,45-64,M,University degree,Top 25%,1,married,1
VR601O,45-64,M,Schooling until age 16,Mid 50%,2,single,3+
NK968Y,35-44,F,Schooling until age 18,Prefer not to say,1,married,1
DZ651T,45-64,M,Postgraduate degree,Mid 50%,2,married,0
QU720L,45-64,M,Postgraduate degree,Prefer not to say,0,single,3+
UG441K,45-64,M,Trade / technical school or college,Top 25%,2,married,1
AB497L,45-64,M,Schooling until age 16,Mid 50%,1,single,0
GG761B,45-64,M,Schooling until age 18,Mid 50%,1,single,1
OP718J,35-44,F,Schooling until age 18,Bottom 25%,1,married,2
UY780C,16-24,M,Schooling until age 18,Prefer not to say,0,single,1
BF372M,25-34,F,Trade / technical school or college,Mid 50%,0,single,3+
ER613A,45-64,F,Schooling until age 16,Mid 50%,3+,married,0
PR851E,16-24,M,Trade / technical school or college,Mid 50%,0,single,2
CP624V,16-24,M,Schooling until age 16,Bottom 25%,0,single,1
OJ787J,35-44,F,Schooling until age 16,Mid 50%,3+,married,3+
EZ460L,45-64,F,Trade / technical school or college,Top 25%,0,married,3+
UZ470N,16-24,F,Schooling until age 16,Prefer not to say,0,single,0
BR296E,35-44,F,University degree,Bottom 25%,2,single,0
QQ765F,35-44,F,Schooling until age 18,Mid 50%,2,married,2
KG116Z,45-64,M,Trade / technical school or college,Mid 50%,0,single,1
AC314F,16-24,F,Schooling until age 18,Prefer not to say,0,single,1
QX817Z,45-64,M,Schooling until age 16,Bottom 25%,2,single,2
IR449H,45-64,F,University degree,Mid 50%,2,married,0
LZ412Z,45-64,F,Schooling until age 16,Mid 50%,3+,single,0
II314G,35-44,M,University degree,Mid 50%,1,married,2
ZK753Z,35-44,F,Trade / technical school or college,Mid 50%,3+,married,1
GT313T,45-64,M,University degree,Prefer not to say,2,married,1
GA899J,35-44,M,University degree,Top 25%,2,married,3+
CZ762S,25-34,F,Trade / technical school or college,Bottom 25%,0,single,3+
VV446T,45-64,F,University degree,Mid 50%,1,single,2
ER726J,35-44,F,Trade / technical school or college,Top 25%,2,married,3+
AR705V,25-34,F,Schooling until age 16,Mid 50%,1,single,0
WY798I,16-24,F,University degree,Prefer not to say,0,single,1
XC628X,35-44,M,Schooling until age 18,Mid 50%,0,single,3+
KG160Y,45-64,M,Postgraduate degree,Top 25%,1,married,2
TA903M,16-24,M,Schooling until age 18,Mid 50%,0,single,0
II625L,16-24,M,University degree,Mid 50%,0,single,1
ES193Q,45-64,M,Trade / technical school or college,Mid 50%,1,married,2
KC521F,45-64,M,Schooling until age 18,Mid 50%,3+,married,2
PT771A,35-44,F,University degree,Top 25%,2,married,3+
FW273K,16-24,F,Postgraduate degree,Mid 50%,0,single,2
HJ943Q,25-34,F,Schooling until age 18,Bottom 25%,1,married,0
CF220N,45-64,M,Postgraduate degree,Mid 50%,3+,married,0
PQ437J,35-44,F,Trade / technical school or college,Mid 50%,0,single,3+
KF203F,35-44,F,Schooling until age 18,Mid 50%,0,single,2
DW917D,45-64,M,University degree,Mid 50%,3+,married,0
LO766D,25-34,M,Schooling until age 16,Bottom 25%,0,single,0
VH232V,25-34,F,Postgraduate degree,Bottom 25%,0,single,2
JU623J,16-24,M,Trade / technical school or college,Bottom 25%,2,married,0
XB356L,45-64,M,Schooling until age 16,Top 25%,1,single,3+
WZ238Y,25-34,M,Trade / technical school or college,Mid 50%,0,single,2
XJ768W,35-44,F,Schooling until age 18,Mid 50%,2,single,2
FZ619I,45-64,M,Schooling until age 16,Bottom 25%,0,single,1
ZT831W,45-64,M,Schooling until age 16,Mid 50%,2,married,3+
LL886P,35-44,F,University degree,Mid 50%,2,married,3+
ND135V,45-64,M,Postgraduate degree,Mid 50%,3+,single,1
VB974K,16-24,F,Schooling until age 18,Bottom 25%,0,single,2
YD893O,16-24,M,Schooling until age 18,Mid 50%,0,single,2
XJ172A,45-64,F,Schooling until age 18,Mid 50%,0,single,2
PD893W,25-34,F,Trade / technical school or college,Mid 50%,2,married,0
VG652O,35-44,F,University degree,Top 25%,1,married,0
UF194Q,25-34,F,University degree,Mid 50%,0,married,3+
OS427T,25-34,F,Postgraduate degree,Top 25%,0,married,3+
OI692C,35-44,M,University degree,Top 25%,0,married,3+
DJ399W,16-24,M,Schooling until age 16,Mid 50%,0,single,1
HI353I,16-24,M,University degree,Bottom 25%,0,single,2
RC369U,45-64,F,Postgraduate degree,Mid 50%,1,single,0
ZU810H,25-34,F,Schooling until age 18,Top 25%,1,married,3+
RO779A,45-64,M,Schooling until age 16,Mid 50%,2,married,1
TX653M,45-64,M,University degree,Mid 50%,3+,married,2
SN618P,45-64,F,University degree,Mid 50%,3+,single,0
SH929Y,45-64,F,Trade / technical school or college,Prefer not to say,3+,single,1
ND878G,45-64,M,University degree,Mid 50%,0,married,0
JP961K,25-34,F,Trade / technical school or college,Mid 50%,0,single,0
CA965T,16-24,M,Trade / technical school or college,Mid 50%,0,single,0
GC904X,45-64,M,Trade / technical school or college,Bottom 25%,0,single,1
WA798X,45-64,M,Postgraduate degree,Prefer not to say,2,married,2
XP869C,35-44,F,Trade / technical school or college,Mid 50%,0,single,1
IS855I,45-64,M,Trade / technical school or college,Bottom 25%,1,single,0
TV945Z,45-64,F,Schooling until age 16,Top 25%,2,single,0
KW307N,25-34,F,University degree,Bottom 25%,1,married,1
ZI678X,25-34,F,Schooling until age 16,Mid 50%,2,married,1
NP310E,35-44,M,Schooling until age 16,Mid 50%,0,married,1
VX449F,45-64,M,Trade / technical school or college,Mid 50%,0,married,0
BW361C,35-44,F,Schooling until age 18,Mid 50%,0,single,1
OH785G,16-24,M,University degree,Mid 50%,0,single,0
DQ182M,35-44,M,Schooling until age 18,Mid 50%,2,married,2
WR358W,45-64,F,Schooling until age 16,Top 25%,2,married,1
TO534J,35-44,F,Trade / technical school or college,Bottom 25%,3+,single,1
TE541H,16-24,F,Trade / technical school or college,Prefer not to say,2,single,2
NR340S,25-34,F,Postgraduate degree,Top 25%,0,single,1
FR316S,16-24,F,Schooling until age 18,Prefer not to say,0,single,2
DU542L,25-34,F,Postgraduate degree,Bottom 25%,0,single,1
XC982Y,35-44,F,Schooling until age 18,Bottom 25%,0,single,1
LU415L,25-34,F,University degree,Mid 50%,0,single,2
HK624O,25-34,M,Postgraduate degree,Top 25%,1,married,1
UC469E,45-64,F,Schooling until age 16,Mid 50%,0,single,3+
ME782D,25-34,F,University degree,Top 25%,2,married,2
VC883R,16-24,M,Schooling until age 18,Prefer not to say,0,single,1
MP479P,45-64,M,Trade / technical school or college,Mid 50%,0,single,0
GT372Z,35-44,F,Schooling until age 16,Bottom 25%,1,single,2
EX867L,35-44,M,Schooling until age 18,Mid 50%,1,single,0
OM178S,45-64,F,Schooling until age 16,Mid 50%,3+,single,1
HU851P,16-24,F,Schooling until age 18,Mid 50%,1,single,0
AZ540T,25-34,F,Postgraduate degree,Top 25%,0,married,2
BB311Z,45-64,F,University degree,Mid 50%,0,married,2
OZ172X,45-64,F,Trade / technical school or college,Bottom 25%,2,single,2
QF514F,45-64,M,University degree,Mid 50%,2,married,3+
BR135K,25-34,M,Postgraduate degree,Mid 50%,0,single,2
NI122I,16-24,M,University degree,Prefer not to say,0,single,1
TS546S,45-64,F,Schooling until age 16,Top 25%,0,single,3+
WG144F,16-24,F,Schooling until age 18,Mid 50%,1,single,2
UA278D,45-64,F,Schooling until age 16,Mid 50%,1,single,1
BF782Y,16-24,F,Schooling until age 18,Mid 50%,0,single,2
PO933B,16-24,F,Schooling until age 18,Bottom 25%,1,single,3+
DO821S,35-44,F,Schooling until age 18,Mid 50%,0,single,1
EO178F,16-24,M,University degree,Mid 50%,0,single,2
YI960K,25-34,F,University degree,Mid 50%,0,married,0
NW131P,25-34,F,University degree,Mid 50%,1,married,2
QI890Q,45-64,F,Schooling until age 16,Mid 50%,0,married,3+
EL632P,25-34,F,Schooling until age 18,Bottom 25%,3+,married,3+
XG154L,25-34,M,Trade / technical school or college,Bottom 25%,0,single,1
FC924N,45-64,M,Schooling until age 16,Mid 50%,1,single,3+
XY100N,25-34,M,University degree,Top 25%,1,married,1
SW455S,45-64,F,Schooling until age 18,Prefer not to say,1,married,2
TR803T,35-44,F,University degree,Mid 50%,2,single,3+
CE698B,25-34,M,University degree,Mid 50%,0,single,0
WW448U,45-64,M,Schooling until age 16,Mid 50%,2,single,2
VO801E,45-64,M,Schooling until age 16,Top 25%,2,married,2
QH258S,45-64,F,Schooling until age 18,Bottom 25%,0,married,1
CM220F,45-64,F,Trade / technical school or college,Prefer not to say,1,single,3+
SI240E,16-24,F,Postgraduate degree,Bottom 25%,0,single,1
JH261I,35-44,M,Schooling until age 16,Mid 50%,2,single,0
ZQ574T,45-64,M,Trade / technical school or college,Mid 50%,0,single,1
PP562F,16-24,F,Schooling until age 18,Mid 50%,0,single,1
VV838G,35-44,F,Schooling until age 16,Mid 50%,3+,married,1
EE564P,35-44,M,Schooling until age 16,Bottom 25%,0,single,3+
KW988N,16-24,M,University degree,Top 25%,2,single,2
QY747I,16-24,M,Schooling until age 18,Prefer not to say,0,single,0
QZ543M,16-24,M,Schooling until age 18,Top 25%,0,single,2
WK660M,16-24,F,University degree,Mid 50%,0,single,1
CR388D,45-64,F,Schooling until age 16,Bottom 25%,0,single,0
LC684T,45-64,F,Schooling until age 16,Prefer not to say,0,single,1
NA489E,25-34,F,University degree,Mid 50%,0,single,3+
VC965O,16-24,F,University degree,Mid 50%,0,single,3+
RR643F,45-64,M,Trade / technical school or college,Bottom 25%,3+,married,0
LO955F,45-64,F,Schooling until age 18,Bottom 25%,0,single,2
GR173U,25-34,M,Schooling until age 18,Mid 50%,0,single,2
GD500P,35-44,M,University degree,Mid 50%,1,single,0
FK753U,45-64,M,Postgraduate degree,Top 25%,3+,married,3+
EZ772J,16-24,M,University degree,Mid 50%,0,single,2
CF915H,25-34,F,Schooling until age 16,Bottom 25%,0,single,2
VP669N,45-64,F,Schooling until age 18,Mid 50%,1,single,2
CH840P,25-34,M,Schooling until age 16,Bottom 25%,0,single,2
EH571Q,45-64,F,Trade / technical school or college,Mid 50%,1,married,3+
JM744N,16-24,M,Schooling until age 16,Prefer not to say,0,single,0
LB628Y,45-64,M,Schooling until age 16,Mid 50%,2,married,0
IY919K,45-64,M,Schooling until age 16,Mid 50%,2,married,0
PE139K,25-34,F,University degree,Mid 50%,0,single,1
TM781C,16-24,F,University degree,Mid 50%,0,single,3+
NT333K,35-44,M,Schooling until age 18,Prefer not to say,0,single,1
YI475N,16-24,F,Schooling until age 18,Prefer not to say,0,single,3+
MV301K,25-34,F,Schooling until age 18,Mid 50%,0,married,2
PZ313Z,45-64,F,Schooling until age 18,Prefer not to say,2,married,1
NP883D,25-34,F,Trade / technical school or college,Bottom 25%,0,single,1
VX553C,35-44,F,Postgraduate degree,Top 25%,1,married,0
XA610P,25-34,M,Postgraduate degree,Top 25%,3+,married,0
UB533T,45-64,M,Schooling until age 18,Mid 50%,0,single,3+
AJ961W,25-34,M,University degree,Top 25%,3+,married,1
RR148T,35-44,F,Schooling until age 18,Mid 50%,1,single,0
FK871F,35-44,M,Trade / technical school or college,Mid 50%,1,single,0
PI450C,45-64,M,Schooling until age 16,Bottom 25%,0,single,0
UO133L,35-44,M,Postgraduate degree,Mid 50%,0,married,1
BQ880E,35-44,F,Postgraduate degree,Prefer not to say,1,married,3+
RZ658R,45-64,F,University degree,Bottom 25%,0,single,3+
HH855V,45-64,F,Schooling until age 16,Bottom 25%,3+,single,1
JT140A,35-44,F,Schooling until age 18,Mid 50%,0,single,2
MI687U,45-64,F,Trade / technical school or college,Mid 50%,1,married,1
CA160D,45-64,M,Schooling until age 18,Bottom 25%,3+,single,1
IA809V,35-44,M,Schooling until age 18,Mid 50%,1,married,3+
MS970Y,45-64,F,Postgraduate degree,Top 25%,0,single,3+
GK167F,35-44,F,University degree,Mid 50%,0,single,1
VL644F,45-64,M,Schooling until age 18,Bottom 25%,3+,single,0
GF740C,45-64,F,Trade / technical school or college,Bottom 25%,3+,single,1
CJ306H,16-24,F,Trade / technical school or college,Mid 50%,0,single,0
VB511C,45-64,F,Trade / technical school or college,Bottom 25%,0,married,0
BY650S,35-44,F,Schooling until age 16,Mid 50%,1,single,0
GE518A,45-64,M,Postgraduate degree,Mid 50%,0,single,3+
UM574X,45-64,M,Schooling until age 16,Mid 50%,3+,single,2
OV311S,45-64,M,Schooling until age 16,Prefer not to say,0,single,2
NJ731E,16-24,M,Trade / technical school or college,Mid 50%,0,single,2
PK413Z,25-34,M,University degree,Mid 50%,0,single,1
SL494U,35-44,M,Trade / technical school or college,Bottom 25%,3+,married,2
ZF906P,16-24,F,University degree,Bottom 25%,0,single,2
RN201Z,45-64,F,Schooling until age 18,Mid 50%,1,single,2
CP161M,35-44,F,University degree,Mid 50%,2,married,1
DQ737X,45-64,F,Trade / technical school or college,Mid 50%,3+,single,3+
TP718I,35-44,M,University degree,Top 25%,2,married,3+
MS492Q,45-64,M,Schooling until age 18,Mid 50%,2,married,3+
BX860J,45-64,M,Schooling until age 16,Bottom 25%,0,married,1
IQ115X,45-64,F,University degree,Prefer not to say,1,single,1
BS230U,45-64,F,Schooling until age 18,Mid 50%,2,single,1
SB936Z,45-64,F,University degree,Top 25%,2,married,3+
WZ177Q,35-44,M,University degree,Mid 50%,0,single,2
CB352U,45-64,F,Schooling until age 18,Top 25%,0,married,2
FC713K,45-64,F,Trade / technical school or college,Mid 50%,0,married,2
ME242Q,35-44,M,University degree,Top 25%,2,married,3+
BN253O,16-24,F,University degree,Bottom 25%,0,single,0
LI784I,16-24,F,University degree,Top 25%,0,single,1
QR319K,25-34,F,Trade / technical school or college,Mid 50%,0,single,3+
QM825D,45-64,F,University degree,Prefer not to say,0,single,3+
BN801A,25-34,M,University degree,Top 25%,0,single,1
HV304S,25-34,F,Postgraduate degree,Mid 50%,0,married,1
YK363A,45-64,F,Schooling until age 16,Prefer not to say,2,single,0
JF737I,16-24,F,University degree,Mid 50%,0,single,2
RN261V,45-64,F,Trade / technical school or college,Mid 50%,3+,married,3+
IP781X,45-64,M,Postgraduate degree,Top 25%,2,married,1
LH978U,45-64,F,Schooling until age 18,Top 25%,2,married,2
GD524A,16-24,M,Schooling until age 18,Prefer not to say,0,single,2
EB600M,25-34,M,Postgraduate degree,Mid 50%,0,single,3+
RW402I,45-64,F,Trade / technical school or college,Mid 50%,0,single,3+
SX674F,25-34,M,Postgraduate degree,Top 25%,2,married,2
QG809Y,45-64,M,University degree,Top 25%,0,single,1
DR108K,35-44,F,Schooling until age 18,Bottom 25%,1,single,1
YN726R,45-64,F,Trade / technical school or college,Bottom 25%,2,married,1
UV906L,45-64,M,Schooling until age 16,Prefer not to say,1,single,3+
DI557B,35-44,F,Schooling until age 16,Mid 50%,2,single,0
EB411Z,45-64,F,Trade / technical school or college,Mid 50%,2,single,0
VR459W,45-64,F,Schooling until age 18,Bottom 25%,0,single,3+
NP984X,45-64,F,Trade / technical school or college,Top 25%,2,single,0
WD608W,16-24,M,University degree,Bottom 25%,0,single,0
DF717I,45-64,F,Schooling until age 16,Bottom 25%,3+,single,2
PI929A,45-64,F,University degree,Mid 50%,0,single,3+
MI679S,45-64,F,Schooling until age 18,Mid 50%,0,married,0
NT677V,25-34,F,Postgraduate degree,Bottom 25%,0,single,3+
SQ208I,45-64,M,Schooling until age 18,Bottom 25%,0,married,3+
VC935A,45-64,F,University degree,Top 25%,3+,single,3+
SL392C,25-34,M,Postgraduate degree,Top 25%,3+,married,0
FA299E,45-64,M,Trade / technical school or college,Mid 50%,0,married,0
NN362X,45-64,M,Postgraduate degree,Prefer not to say,0,single,2
CL415U,25-34,F,Trade / technical school or college,Bottom 25%,3+,married,0
ND615H,45-64,M,Trade / technical school or college,Mid 50%,0,single,0
OX153Y,35-44,F,Schooling until age 16,Bottom 25%,2,single,1
VW609L,16-24,F,Trade / technical school or college,Top 25%,0,single,1
OS956N,45-64,F,Schooling until age 16,Mid 50%,2,married,1
EW807D,25-34,M,Postgraduate degree,Top 25%,2,married,0
GG672C,16-24,M,Schooling until age 18,Bottom 25%,1,single,3+
XD485I,25-34,F,University degree,Bottom 25%,0,single,0
DM827U,25-34,F,University degree,Mid 50%,3+,single,3+
EV192H,45-64,F,Trade / technical school or college,Bottom 25%,0,single,2
OD432Y,45-64,M,Schooling until age 18,Bottom 25%,0,single,3+
PG410L,35-44,M,University degree,Mid 50%,0,single,2
YB613F,25-34,F,Schooling until age 18,Mid 50%,2,single,0
